codeCn,cn,codePinyin,pinyin,codeEn,en,codeFr,fr,isFavorite
mlxl,不敢,bg,bú gǎn ,, dare not ; not dare,, F.ne pas oser,
mlxq,不安 ,ba,bú ān  ,, intranquil ; unpeaceful ; unstable ; sorry,, F.inquiet ; inquiétude ; inquiéter ; anxieux ; anxiété ; transe ;gêné ; gêne ; malaise ; troublé ; trouble ; troubler ; agité ; agitation ; agiter ; alarmer ; mal à l'aise ; instable ; instabilité ,
mlxq,原文,yw,yuán wén ,, original text,, F.texte original ; original ,
mlxt,孙女,un,sūn nǚ ,, granddaughter,, F.petite-fille,
mly,不一定,byd,bú yī dìng ,,uncertain ; not sure ; not necessarily so,, F.pas certain ; incertain,
mly,原  ,y,yuán   ,, primary ; original ; former,, F.plaine ; primitif ; initial ; originel ; brut,
mlyg,不久,bj,bú jiǔ ,, not long ; soon        ,," F.peu de temps avant, peu de temps après",
mlyg,不快,bk,bú kuài ,, be unhappy ; be displeased ; be indisposed ; feel under the weather ; be out of sorts ; slow ; not fast,, F.indisposé ; indisposer ; indisposition ; déplaisir ; vexer ; vexé ; déplaire ; se déplaire ; maussade ; malheureux ; émoussé ; peu tranchant ; mécontent ; faché,
mlyg,示众,sz,shì zhòng ,, publicly expose ; put before the public,, F.faire connaître au public ; montrer au public,
mlyi,不足,bv,bú zú ,, not enough ; insufficient ; inadequate ; less than ; not worth ; be beneath ; can't ; should not ,, F.Insuffisance,
mlyjy,你一定可以撑下去的,nydky,nǐ yī dìng kě yǐ chēng xià qù de ,ywbat,You will be able to fight on,vsemd, F.Vous serez en mesure de le combattre,
mlyl,不一定啦,bydl,bú yī dìng lā ,,Not sure,, F.Pas sûr,
mlyn,禁止入内,jzrn,jìn zhǐ rù nèi ,dne, DO NOT ENTER,npe, F.NE PAS ENTRER,
mlyq,原状    ,yz,yuán zhuàng     ,,original state ; previous condition,, F.état primitif ; initial ; forme primitive,
mlyrq,你应该慢点喝,nygmd,nǐ yīng gāi màn diǎn hē ,ywsdw, You should slow down with the drinking.,vdbpl, F.Vous devrez boire plus lentement.,
mlyt,不大,bd,bú dà ,, not very        ,, F.pas tellement ; pas très,
mlyt,酥软,ur,sū ruǎn ,, limp ; weak ; soft,, F.alangui ; avachi ; faible ; tendre,
mlz,不上道,bsd,bú shàng dào ,,Not on the road,, F.Pas sur la route,
mlzl,不通,bt,bú tōng ,, be obstructed ; be blocked up ; be impassable,, F.obstrué ; bloqué ; bouché ; encombré ; impraticable ; ,
mlzq,柔道,rd,róu dào ,,judo,, F.judo,
mlzt,不过,bg,bú guò ,, but ; only ; merely       ,, F.mais ; cependant,
mlzt,陈述,cs,chén shù ,, state ; declare,, F.exposé ; déclaration ; exposer ; raconter ; narrer,
mlzt,综述,vs,zōng shù ,, summarize ; sum up,, F.résumer,
mmaq,果不其然,gbqr,guǒ bú qí rán ,, as expected ; not unexpectedly ; indeed,, F.comme on pouvait s'y attendre ; en effet,
mmcq,标记,bj,biāo jì ,, mark ; indicate        ,, F.marquer ; indiquer,
mmcqb,你不能去那儿,nnbnq,nǐ bú néng qù nà ér ,yctgh, You can’t go there.,vnppy, F.Vous ne pouvez pas y aller.,
mmfo,小本经营,xbjy,xiǎo běn jīng yíng ,, business with a small capital;do business in a small way,, F.petit commerce,
mmj,繁体字,ftv,fán tǐ zì ,, the original complex form of a simplified Chinese character,, F.caractère chinois non-simplifiés (de forme traditionnelle),
mmjg,不怀好意,bhhy,bú huái hǎo yì ,, harbor evil designs ; harbor malicious intentions,," F.entretenir, nourrir de mauvais desseins, de mauvaises intentions ;à mauvaise fin ",
mmll,条条框框,ttkk,tiáo tiáo kuàng kuàng ,, rules and regulations ; conventions,, F.règles et formules,
mmml,麻木不仁,mmbr,má mù bú rén ,,  apathetic ; insensitive ; unfeeling,, F.insensibilité,
mmmm,原原本本 ,yybb,yuán yuán běn běn  ,,from beginning to end ,, F.de A jusqu'à Z  ; du commencement à la fin ; tout au long,
mmoc,原来如此,ylri,yuán lái rú cǐ ,,So it is,, F.de sorte que,
mmoq,标语,by,biāo yǔ ,, slogan ,, F.devise ; mot d'ordre (écrit),
mmozz,你不知道这（个忙）对我有多重要,nbzdz,nǐ bú zhī dào zhè （gè máng ）duì wǒ yǒu duō zhòng yào ,ydtkh, You don’t know how much this means to me.,vnspc, F.Vous ne savez pas combien cela signifie pour moi.,
mmq,小米,xm,xiǎo mǐ ,, millet,, F.millet,
mmqwt,你呆会儿干什么？,ndheg,nǐ dāi huì ér gàn shén me ？,waydl, What are you doing later?,qfvpt, F.Que faites-vous plus tard?,
mmqwz,你呆会儿过来怎么样？,ndheg,nǐ dāi huì ér guò lái zěn me yàng ？,wdtyc, Why don’t you come over later?,qdvdr, F.Que diriez-vous de rester un certain temps?,
mmt,小菜,xi,xiǎo cài ,, pickled vegetables ; pickles,, F.légumes salés ; plat ; mets,
mmte,素昧平生,umps,sù mèi píng shēng ,, have never met before,," F.complètement inconnue, qu'on n'a jamais vue de sa vie",
mmttf,你来评评理,nlppl,nǐ lái píng píng lǐ ,yctjb,You come to judge by reason,vvaej, F.Vous venez à en juger par la raison,
mmtv,砸,v,zá ,, wet ; moist ,, F.Carré,
mmu,坏东西,hdx,huài dōng xī ,, bastard ; scoundrel ; rogue,, F.objet gaté ; gredin ; salaud,
mmu,小集团,xjt,xiǎo jí tuán ,, clique ; faction,, F.clique ; coterie ; faction ; groupuscule,
mmv,不景气,bjq,bú jǐng qì ,, depression ; recession ; slump ; depressing state,, F.dépression ; marasme ; récession,
mmv,紫禁城,vjc,zǐ jìn chéng ,, the Forbidden City,, F.la Cité Interdite,
mmx,来不及,lbj,lái bú jí ,, there is not enough time ,," F.ne pas. . . en temps, ne pas avoir le temps de",
mmy,小标题,xbt,xiǎo biāo tí ,, subheading ; subhead,, F.sous-titre,
mmzg,深谋远虑,smyl,shēn móu yuǎn lǜ ,,think deeply and plan carefully;be circumspect and farsighted,, F.plans mûrement établis ; ne rien laisser à l'imprévu ; ,
mnaww,不高兴就说啊,bgxj,bú gāo xìng jiù shuō ā ,,speak directly your dissatisfaction,, F.Parler directement votre mécontentement,
mndfn,你们有空房间吗？,nmykf,nǐ men yǒu kōng fáng jiān ma ？,dyhav, Do you have any vacancies?,avuc, F.Avez-vous une chambre?,
mndyj,你们有关于俄国方面的书吗？,nmygy,nǐ men yǒu guān yú é guó fāng miàn de shū ma ？,dyhab, Do you have any books on Russia?,avdle, F.Avez-vous des livres en Russie?,
mndzm,你们有这本书的第一版吗？,nmyzb,nǐ men yǒu zhè běn shū de dì yī bǎn ma ？,dyhtf, Do you have the first edition of this book?,avlpe, F.Avez-vous la premier edition de ce livre?,
mngwa,你们今晚预定了桌位吗？,nmjwy,nǐ men jīn wǎn yù dìng le zhuō wèi ma ？,dyhrt, Do you have reservations tonight?,avurc, F.Avez-vous une reservations ce soir?,
mngys,你们今天的招牌菜是什么？,nmjtd,nǐ men jīn tiān de zhāo pái cài shì shén me ？,wsyst, What’s your special today?,qevsa, F.Quelle est votre spécialité aujourd'hui?,
mnj,小册子,xiv,xiǎo cè zǐ ,, booklet ; pamphlet,, F.livret ; opuscule ; brochure ; plaquette,
mnjvy,你帮了我大忙,nblwd,nǐ bāng le wǒ dà máng ,yvbab, You’ve been a big help.,vaedu, F.Vous avez été d'une grande aide.,
mnkjj,你们长得好像喔,nmzdh,nǐ men zhǎng dé hǎo xiàng wō ,oyll,"Oh, you look like",ovra," F.Oh, vous ressemblez à",
mnl,小雨,xy,xiǎo yǔ ,, light rain,, F.petit pluie ; pluie fine,
mnm,不骗你,bpn,bú piàn nǐ ,dnlty,Do not lie to you,ntmpa, F.Ne te mens  pas à toi même,
mnmaj,不用麻烦了,bymfl,bú yòng má fán le ,dnb,Do not bother,npd, F.Ne pas déranger,
mnmud,不用你插嘴,bync,bú yòng nǐ chā zuǐ ,dnyi,Do not you interrupted,npi, F.Ne pas intérompre,
mno,小两口,xlk,xiǎo liǎng kǒu ,,young couple,, F.jeune couple,
mno,小商品,xsp,xiǎo shāng pǐn ,, small commodities,, F.petits articles ,
mnpmc,你简直不能相信我们老师今天做了什么事情?,njzbn,nǐ jiǎn zhí bú néng xiàng xìn wǒ men lǎo shī jīn tiān zuò le shén me shì qíng ?,cybwo, Can you believe what our teacher did today?,pvccq, F.Pouvez vous croire ce que le professeur a fait aujourd'hui ?,
mnpmx,你简直不敢相信在这家电影院一袋爆米花要多少钱,njzbg, nǐ jiǎn zhí bú gǎn xiàng xìn zài zhè jiā diàn yǐng yuàn yī dài bào mǐ huā yào duō shǎo qián ,cybhm, Can you believe how much a bag of popcorn costs at this theater?,pvclp, F.Pouvez-vous croire le prix d'un pot de popcorn ?,
mnq,小调,xd,xiǎo diào ,, popular tune ; ditty ; minor,, F.chansonnette,
mns,菜市场,isc,cài shì chǎng ,, frood market,, F.marché aux légumes ; halle aux légumes,
mns,小饰物,xsw,xiǎo shì wù ,, notions,, F.petite parure,
mntt,不同解释,btjs,bú tóng jiě shì ,, scratching the surface ; superficial ; perfunctory,, F.superficiel ; épidermique ; fait pour la forme ; négligent ; qui effleure une question sans l'approfondir ; qui n'entre pas dans le vif du sujet,
mnuc,东南西北,dnxb,dōng nán xī běi ,," all directions ; north, south, east and west",, F.toutes les directions ; les quatre points cardinaux,
mnwvj,你再说我打你喔,nvswd,nǐ zài shuō wǒ dǎ nǐ wō ,oysih,"Oh, you say I hit you",ovdqj," F.Oh, vous dites que je vous ai frappé",
mnxvs,你需要我的帮助吗？,nxywd,nǐ xū yào wǒ de bāng zhù ma ？,dynmh, Do you need my help?,avbdm, F.Avez-vous besoin de mon aide?,
mnzfr,你们这里有没有道路交通图册？,nmzly,nǐ men zhè lǐ yǒu méi yǒu dào lù jiāo tōng tú cè ？,dyhar, Do you have any road atlases?,avdcr, F.Avez-vous des cartes routières ?,
mnzlk,你们这些家伙太懒了,nmzxj,nǐ men zhè xiē jiā huǒ tài lǎn le ,ygagl,You guys are getting lazy.,vgstp, F.Votre gars sont trop paresseux.,
moe,不信任,bxr,bú xìn rèn ,, distrust ; not believe in ; have no confidence in,, F.se défier ; défiance ; se méfier ; méfiance ; ne pas croire,
moe,综合性,vhx,zōng hé xìng ,, synthetic,, F.synthétique,
moel,不知羞耻,bzxc,bú zhī xiū chǐ ,, shameless ; unblushing ; barefaced,, F.sans honte,
mof,小口径,xkj,xiǎo kǒu jìng ,, small-bore,, F.petit calibre,
moi,小路,xl,xiǎo lù ,," alley, bypath, footpath, path, sideway",, F.sentier ; chemin de traverse,
moi,小品,xp,xiǎo pǐn ,," a short, simple literary or artistic creation ; essay ; sketch",, F.petit article ; composition brève ; essai,
moj,不吉利,bjl,bú jí lì ,,  no lucky,, F.malheureux ; peu propice ; sinistre ; de malheur,
moj,小石子,xsv,xiǎo shí zǐ ,, scree,, F.cailloux,
mol,小结,xj,xiǎo jié ,, brief summary ; preliminary summary ; brief sum-up ; interim summary ; summarize brief,, F.bref bilan ; résumé,
mol,综合症,vhz,zōng hé zhèng ,, syndrome,, F.syndrome,
monh,不言而喻,byry,bú yán ér yù ,, it goes without saying ; it is self-evident,, F.cela va sans dire de soi ; cela se comprend de soi ; il est sous-entendu que ; c'est l'évidence même ,
monu,深居简出,sjjc,shēn jū jiǎn chū ,, live in the seclusion of one's own home;live a secluded life,," F.se montrer rarement en public ; avoir une vie retirée, cloîtrée",
moo,不合格,bhg,bú hé gé ,,unqualified ; substandard,, F.non qualifié,
moq,茶话会,chh,chá huà huì ,, tea party,," F.un thé ; réunion amicale, réception (avec thé) ; tea-party",
mot,小姑,xg,xiǎo gū ,, husband's younger sister ; sister-in-law,, F.belle-sœur (sœur du mari),
mov,不客气,ngwk,bú kè qì ,, not at all ; you're welcome,, F.Vous me donnez un coup d'oeil de plus près,
mov,你管我,bkq,nǐ guǎn wǒ ,lma,Leave me alone,lms, F.Laissez moi seul,
movbd,你给我看清楚一点,ngwkq,nǐ gěi wǒ kàn qīng chǔ yī diǎn ,ygmac,You give me a closer look,vmduc, F.Vous me donnez un coup d'oeil de plus près,
movxj,来和我父母打个招呼,lhwfm,lái hé wǒ fù mǔ dǎ gè zhāo hū ,cshtm,Come say hi to my parents.,vdbam, F.Venez dire bonjour à mes parents.,
mox,未知数,wzs,wèi zhī shù ,,unknown number ; unknown ; uncertain,, F.incertain ; inconnue (math.),
mox,小品文,xpw,xiǎo pǐn wén ,, framiliar essay ; essay,, F.essai ; composition courte,
moywj,你喜欢就好,nxhjh,nǐ xǐ huān jiù hǎo ,yll,You like like,svlav, F.Si vous l'aimez vous le portez bien,
moyyk,你喜欢足球吗？,nxhvq,nǐ xǐ huān zú qiú ma ？,dylf, Do you like football?,avlf, F.Aimez-vous le football?,
moz,不合适,bhs,bú hé shì ,,  improper ; inappropriate ; out of place,, F.inconvenant ; n'être pas  (plus) de mise ; ne pas convenir,
mozcw,你知道他现在的情况吗？,nzdtx,nǐ zhī dào tā xiàn zài de qíng kuàng ma ？,dykaa, Do you know anything about his condition?,savci, F.S'avez vous comment il va ?,
mozgq,你知道怎么去体育馆吗？,nzdvm,nǐ zhī dào zěn me qù tǐ yù guǎn ma ？,dykht, Do you know how to get to the stadium?,svcsr, F.Savez-vous comment se rendre au stade?,
mozhs,你知道动物园在哪儿吗？,nzddw,nǐ zhī dào dòng wù yuán zài nǎ ér ma ？,dykwt, Do you know where the zoo is?,svoel, F.Savez-vous où est le zoo?,
mozmt,你知道你毕业后做什么吗？,nzdnb,nǐ zhī dào nǐ bì yè hòu zuò shén me ma ？,dykwy, Do you know what you’re doing after graduation?,vscqv, F.Vous savez ce que vous allez faire après obtention de votre diplôme?,
mozsb,你知道吗，日本刚开了一个迪斯尼乐园,nzdmr,nǐ zhī dào ma ，rì běn gāng kāi le yī gè dí sī ní lè yuán ,dyktj, Did you know they just opened a Disney World in Japan?,svqiv, F.Saviez-vous qu'ils viennent d'ouvrir un Disney World au Japon?,
moztq,你知道什么车去纪念碑体育馆吗？,nzdsm,nǐ zhī dào shén me chē qù jì niàn bēi tǐ yù guǎn ma ？,dykwb,Do you know what bus leads to Memorial Stadium?,svqbc, F.Savez-vous quelle bus conduit à Memorial Stadium?,
mozwf,你知道现在几点了吗？,nzdxv,nǐ zhī dào xiàn zài jǐ diǎn le ma ？,wtdyh, What time do you have?,svqhi, F.Savez-vous quelle heure il est?,
mozwo,你知道几路公共汽车去剧院吗？,nzdjl,nǐ zhī dào jǐ lù gōng gòng qì chē qù jù yuàn ma ？,dykwb,Do you know what bus is going to the theater?,svqbv, F.Savez-vous quel bus va au théâtre ?,
mpe,小五金,xwj,xiǎo wǔ jīn ,, hardware ; metal goods for domestic use ; metal fittings,, F.quincaillerie,
mpg,小脚,xj,xiǎo jiǎo ,, bound feet,, F.pieds bandés,
mpj,集,收集,シュウ、あつ-まる、あつ-める、つど-う,, collect ; gather,, F.rassembler ; recueillir ; collectionner,
mpjhz,不值得为这点小事生气,bzdw,bú zhí dé wéi zhè diǎn xiǎo shì shēng qì ,nwtsa,Not worth this small angry,plpdc, F.Pas la peine de se mettre en colère pour une petite chose,
mpl,小丑,xc,xiǎo chǒu ,, clown ; buffoon,, F.bouffon ; clown,
mpl,小组,xv,xiǎo zǔ ,, group        ,, F.équipe ; groupe,
mpt,小节,xj,xiǎo jiē ,, small matter ; trifle ; bar ; measure,, F.bagatelle ; broutille ; détail,
mpt,小姐,xj,xiǎo jiě ,, miss ; young lady,, F.mademoiselle,
mqa,案,a,àn ,,table ; case ;  law case ; file ; record,, F.table ; procès,
mqag,麻烦,mf,má fán ,, troublesome; inconvenient; put sb. to trouble; trouble sb.; bother sb. ,, F.ennuyeux ; pénible ; gênant,
mqal,兼职,jz,jiān zhí ,, hold two on more posts concurrently,," F.cumuler, emplois cumulés",
mqbg,察看,ck,chá kàn ,, watch ; look carefully at ; observe,, F.inspecter ; observer,
mqbg,漂白,pb,piāo bái ,, bleach,, F.blanchir ; décolorer,
mqbg,亲自,qv,qīn zì ,,(do sth. )  in person: oneself,, F.personnellement,
mqbi,怀旧,hj,huái jiù ,, remember past times or old acquaintances,, F.évoquer le passé,
mqbl,宗旨,vz,zōng zhǐ ,, aim ; purpose,, F.objet ; but ; principe ; idée,
mqc,不会吧,bhb,bú huì ba ,ntpe,Not possible?,pspe, F.pas possible?,
mqc,察,c,chá ,,examine ; look into ; scrutinize,, F.examiner ; considérer ; enquêter sur,
mqc,床,cuang,chuáng ,,bed,, F.lit,
mqcg,米色,mu,mǐ sè ,, cream-colored,, F.beige ; (couleur) crème,
mqcg,亲笔,qb,qīn bǐ ,, in one's own handwriting,, F.de sa propre main ; autographe,
mqcg,紊乱,wl,wěn luàn ,, disorder ; chaos ; confusion,, F.désordre ; trouble ; confusion ; chaos,
mqcjk,你会死得很难看,nhudh,nǐ huì sǐ dé hěn nán kàn ,ywdu,You will die ugly,vaml, F.Vous allez mourir laid,
mqcl,冻死,du,dòng sǐ ,, frreeze to death ; freeze and perish ; die of frost,, F.mourir de froid,
mqcl,麻绳,ms,má shéng ,," rope made of hemp, flax, jute, etc. ",, F.corde de chanvre,
mqct,怀抱,hb,huái bào ,, bosom ; cherish,, F.tenir sur son sein ; porter dans ses bras ; nourrir,
mqct,麻花,mh,má huā ,, frried dough twist,, F.tortillon frit,
mqdg,床铺,cp,chuáng pù ,, bed,, F.lit ; couche ; literie,
mqdg,亲信,qx,qīn xìn ,, trusted follower,," F.homme de confiance, ami sûr",
mqdg,深情,sq,shēn qíng ,,deep feeling,, F.Sentiment profond,
mqdi,察明,cm,chá míng ,, frind out ; ascertain,, F.constater,
mqeg,课程,kc,kè chéng ,, course        ,, F.programme des études,
mqeg,麻雀,mq,má què ,, sparrow,, F.moineau,
mqeg,谋生,ms,móu shēng ,, seek a livelihood ; make a living,," F.chercher à gagner sa vie, un gagne-pain",
mqeg,亲生,qs,qīn shēng ,, one's own,," F.son propre enfant, à soi",
mqfl,深红,sh,shēn hóng ,, deep  ; crimsoned,, F.rouge foncé ; pourpre,
mqfq,澡堂  ,vt,zǎo táng   ,, public baths ; bathhouse,, F.établissement de bains,
mqft,床垫,cd,chuáng diàn ,, mattress,, F.matelas ; sommier,
mqgg,怀念,hn,huái niàn ,, cherish the memory of        ,, F.penser à,
mqgg,漂移,py,piāo yí ,, drift,, F.dériver,
mqgi,深思,su,shēn sī ,, think deeply about ; ponder deeply over,, F.réfléchir profondément ; méditer,
mqgj,深,深,シン、ふか-い、ふか-まる、ふか-める,,"deep ; late ; difficult ; penetrating ; (of feelings) intimate ; (of color), dark  ; deeply",, F.profond ; foncé ; avancé ; profondément ; extrêmement ; très,
mqgj,添,附件,テン、そ-える、そ-う,, appendix ; annex ; enclosure ; accessories ; attachment,, F.pièce annexe ; annexe,
mqgq,麻疹,mz,má zhěn ,, measles,, F.rougeole,
mqgq,深意,sy,shēn yì ,, thoroughgoing ; profound,, F.sens profond ; vue profonde,
mqgs,深,s,shēn ,,"deep ; late ; difficult ; penetrating ; (of feelings) intimate ; (of color), dark  ; deeply",, F.profond ; foncé ; avancé ; profondément ; extrêmement ; très,
mqh,杀虫剂,scj,shā chóng jì ,, insecticide ; pesticide,, F.insecticide ; vermicide,
mqhg,冻伤,ds,dòng shāng ,, frrostbite,, F.geler ; gelé ; gelure,
mqhl,惊动,jd,jīng dòng ,, startle ; shock ; alert ; disturb ; bother,, F.déranger ; troubler ; étonner ; surprendre ; remuer ; faire sensation,
mqhq,米粉,mf,mǐ fěn ,, ground rice ; rice flour ; rice-flour noodles,, F.vermicelle de riz ; farine de riz,
mqht,亲切,qq,qīn qiē ,, cordial ; warm,, F.intime,
mqht,深切,sq,shēn qiē ,, heartfelt ; deep ; profound,, F.profond ; intense ; intime ; cordial,
mqiev,来点新样式会很好的,ldxys,lái diǎn xīn yàng shì huì hěn hǎo de ,smwbn, Something new would be nice.,qcdns, F.QuelQue chose de nouveau serait bien.,
mqig,廉价,lj,lián jià ,,cheap,, F.Pas cher,
mqij,課,课,カ,,class,, F.Leçon,
mqij,裸,裸,ラ、はだか,,bare,, F.nu,
mqik,課,k,kè ,,  class ; course ; lesson (for lesson) ,," F.cours, leçon",
mqiq,麻痹,mb,má bì ,,paralysis ; benumb ; lull ; blunt ; lower one's guard ; slacken one's vigilance,, F.négligent ; paralysie ; paralyser ; engourdir ; endormir,
mqiq,深刻,sk,shēn kè ,, penetrating ; deep ; profound,," F.profond, approfondi",
mqiq,深渊,sy,shēn yuān ,, abyss,, F.gouffre ; précipice ; abîme,
mqit,深圳,sz,shēn zhèn ,,Shenzhen,, F.Shenzhen,
mqj,案,案,アン,,table ; case ;  law case ; file ; record,, F.table ; procès,
mqj,察,警察,サツ,, police ; policeman,, F.policier ; agent de police ; police,
mqj,巣,筑巢,ソウ、す,,nest,, F.Nid,
mqj,兼,j,jiān ,,And,, F.et,
mqj,兼,兼,ケン、か-ねる,,And,, F.et,
mqj,桨,j,jiǎng ,, oar ; scull ; paddle,, F.aviron ; rame,
mqj,京,j,jīng ,, the capital of a country ; Beijing,," F.capitale ; métropole, abréviation de ""Pékin""",
mqj,京,京,キョウ、ケイ,, the capital of a country ; Beijing,," F.capitale ; métropole, abréviation de ""Pékin""",
mqj,廉,仁,レン,, benevolence ; kindheartedness ; humanity,, F.bienveillance ; bon ; vertu d'humanité ; amour du prochain ; ,
mqj,寮,宿舍,リョウ,, dormitory,, F.dortoir,
mqj,療,关照,リョウ,, look after ; keep an eye on ; notify by word of mouth,, F.notifier ; informer ; prendre soin de ; s'occuper de,
mqj,麻,麻,マ、あさ,,hemp,, F.Chanvre,
mqj,米,米,ベイ、マイ、こめ,, rice ; shelled seed ; husked seed ; meter,, F.riz décortiqué ; grain décortiqué ; mètre,
mqj,棄,处置,キ,, handly ; deal with ; manage ; dispose of ; punish,, F.régler ; statuer ; décider ; disposer ; arranger ; prendre des sanctions ; punir,
mqj,染,染,セン、そ-める、そ-まる、し-みる、し-み,, bye ; acquire (bad habit) ,, F.teindre,
mqj,栄,荣,エイ、さか-える、は-え、は-える,, grow luxuriantly ; flourish ; honor ; glory,, F.florissant ; luxuriant ; prospère ; abondant ; honneur ; gloire,
mqj,探照灯,tzd,tàn zhào dēng ,, searchlight,, F.projecteur,
mqj,業,业,ギョウ、ゴウ、わざ,,(line of business ; walks of life)        ,, F.métier ; occupation ; cause ; biens ; s'occuper ; déjà,
mqj,楽,乐,ガク、ラク、たの-しい、たの-しむ,, happy ; cheerful ; joyful ; be glad to ; find pleasure in ; enjoy,, F.joie ; plaisir ; se réjouir,
mqj,宗,宗,シュウ、ソウ,, ancestor ; clan ; sect ; faction ; school ; principal aim ; purpose ; take as one's model ; learn from,, F.ancêtres ; clan; secte; école; se donner pour modèle; prendre pour maître,
mqjg,案例,al,àn lì ,,case ; example of case,, F.un cas d'école ; exemplaire,
mqjg,麻将,mj,má jiāng ,,mahjong ,, F.Mahjong,
mqjg,麻利,ml,má lì ,, quick and neat ; dexterous ; deft,, F.expéditif ; prompt ; vif,
mqjg,谋利,ml,móu lì ,, profit ; turn something to profit,, F.rechercher le profit,
mqjg,亲身,qs,qīn shēn ,, personal ; firsthand,, F.soi-même ; en personne ; personnellement,
mqjg,亲手,qs,qīn shǒu ,, with one's own hands ; personally ; oneself,, F.de sa propre main,
mqji,京剧,jj,jīng jù ,, beijing (Peking) opera ,, F.opéra de Pékin,
mqjl,怀孕,hy,huái yùn ,, conception ; in the family way ; be pregnant,, F.être enceinte ; concevoir,
mqjl,麻子,mv,má zǐ ,, pockmarks ; a person with a pockmarked face,, F.marques de la petite vérole ; un grêlé,
mqjl,深厚,sh,shēn hòu ,, deep ; profound,, F.profond,
mqjl,袜子,wv,wà zǐ ,, socks ; stockings ; hose,," F.chaussette, socquette, bas ",
mqjl,寨子  ,zv,zhài zǐ   ,, stockade village,, F.village ,
mqjl,粽子,vv,zòng zǐ ,, a pyramid-shamed dumpling made of glutinous rice wrapped in bamboo or reed leaves,," F.espèce de pate cuite en forme de pyramide, faite avec du riz glutineux ",
mqjq,惊讶,jy,jīng yà ,, surprised ; amazed ; astonished,," F.s'étonner ; être surpris , stupéfait ",
mqjq,漂浮,pf,piāo fú ,,float,, F.Float,
mqjt,惊奇,jq,jīng qí ,, surprised ; astonished ,, F.s'étonner,
mqjt,谋划,mh,móu huá ,, plan ; scheme ; try to find a solution,, F.combiner un plan ; projeter,
mqjt,亲事,qs,qīn shì ,, marriage,, F.traiter une affaire en personne ; mariage ; fiançailles,
mqkg,麻袋,md,má dài ,, gunny-bag ; gunnysack ; sack,, F.sac de chanvre ou de jute,
mqkg,源泉   ,yq,yuán quán    ,,source ; fountainhead,, F.source,
mqki,亲眼,qy,qīn yǎn ,, with one's own eyes ; personally,, F.de ses propres yeux,
mqkl,深水,ss,shēn shuǐ ,, deepwater,, F.en eaux profondes,
mqkq,怀恨,hh,huái hèn ,, nurse a hatred for ; harbor resentment ; bear a grudge,, F.garder rancune,
mqkq,宗派,vp,zōng pài ,, fraction ; sect,, F.secte ; école,
mqkt,谋求,mq,móu qiú ,, seek ; strive for ; be in question of,, F.chercher à obtenir ; se mettre en quête de,
mql,梁,liang,liáng ,, roof beam ; bridge ; ridge,, F.pont ; poutre,
mqlg,床位,cw,chuáng wèi ,, berth ; bunk ; bed,, F.lit ; couchette,
mqlg,糜烂,ml,mí làn ,, rotten to the corn ; corrupted ; profligate ; debauched,, F.réduit en bouillie ; réduite en charpie par la cuisson ; corrompu débauché ; érosion,
mqli,笨蛋一个,bdyg,bèn dàn yī gè ,, heavy ; cumbersome ; unwieldy,, F.encombrant ; pesant ; massif ; lourd ; pénible,
mqli,谦虚,qx,qiān xū ,, modest ; ,," F.modeste, humble",
mqlj,漂,漂流,ヒョウ、ただよ-う,, be driven by the current ; drift about,, F.aller à la dérive ; à vau-l'eau ; flotter au fil de l'eau,
mqlj,源,来源,ゲン、みなもと,,"  source ; cause, originate from       ",," F.source, venir de",
mqlq,谦让,qr,qiān ràng ,, modestly decline,, F.s'effacer ; céder avec modestie,
mqlyt,你下一次什么时候有空？,nxycs,nǐ xià yī cì shén me shí hòu yǒu kōng ？,wiyno, When is your next opening?,lpfqv, F.La prochaine fois Quand  vous avez du temps libre?,
mqm,麻,m,má ,,hemp,, F.Chanvre,
mqmg,不然你想怎样,brnxv,bú rán nǐ xiǎng zěn yàng ,ohdyw,"Otherwise, how do you want",scvv," F.Sinon, comment voulez-vous",
mqmj,未尝不可,wcbk,wèi cháng bú kě ,, that should be all right,, F.c'est bien possible ; je n'y vois pas d'inconvénient,
mqmq,源源  ,yy,yuán yuán   ,,in a steady stream,, F.sans cesse ; continuellement ; sans arrêt,
mqmqo,不去你会后悔,bqnhh,bú qù nǐ huì hòu huǐ ,yweri,You will regret it if,vlrs, F.Vous le regretterez sinon,
mqmt,麻木,mm,má mù ,, numb ; apathetic ; insensitive,, F.engourdi ; insensible ; gourd ; indifférent ; apathique ; torpeur,
mqmt,谋杀,ms,móu shā ,, murder,, F.assassiner ; préméditer un meurtre,
mqmt,深林,sl,shēn lín ,, thickly forested,, F.dans la profondeur des bois ; forêt profonde,
mqmt,涂抹,tm,tú mò ,, daub ; smear ; paint ; scribble ; scrawl,, F.enduire ; peindre ; barbouiller ; gribouiller ; griffonner,
mqmt,诛杀,zs,zhū shā ,, put to death,, F.mettre à mort,
mqmuv,果然不出我所料,grbc,guǒ rán bú chū wǒ suǒ liào ,,"Sure enough,  what I expected",," F.Effectivement, ce que je pensais",
mqni,亲属,qs,qīn shǔ ,, kinsfolk ; relatives,, F.parents ; parenté,
mqnq,染病,rb,rǎn bìng ,, catch an illness,, F.attraper ; contracter une maladie,
mqnt,麻布,mb,má bù ,, gunny (cloth) ; sackcloth ; burlap ; hessian ; linen,, F.toile de chanvre ou de lin,
